date_of_operation,restaurant_type,branch_identifier,state_of_operation,region_of_operation,number_of_customers
04-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,18
05-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,188
07-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,26
08-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
09-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,1
10-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,147
11-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,97
12-05-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,124
5-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,88
5-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,50
5-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,170
5-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,132
5-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,143
5-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,107
5-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,98
5-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,96
5-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,47
5-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,137
5-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,115
5-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,121
5-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,99
5-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,111
5-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,109
5-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,66
5-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,133
5-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,122
5-31-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,488
01-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
02-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,39
03-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,40
04-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,29
05-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,133
06-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,18
07-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,113
08-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,98
09-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,157
10-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,147
11-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,73
12-06-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,177
6-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,152
6-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,179
6-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,157
6-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,161
6-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,182
6-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,92
6-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,209
6-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,183
6-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,236
6-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,222
6-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,258
6-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,323
6-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,297
6-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,147
6-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,172
6-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,189
6-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,187
6-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,730
01-07-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,107
02-07-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
05-07-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,106
06-07-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,8
07-07-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,40
10-07-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,147
11-07-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,108
12-07-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,108
7-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,95
7-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,116
7-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,86
7-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,60
7-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,133
7-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,124
7-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,142
7-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,87
7-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,107
7-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,64
7-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,41
7-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,77
7-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,79
7-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,111
7-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,75
7-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,101
7-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,85
7-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,75
7-31-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,716
01-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,59
03-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,1
04-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
05-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,1
06-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
07-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,167
08-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,136
09-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,108
10-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,130
11-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,146
12-08-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,125
8-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,78
8-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,202
8-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,66
8-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,202
8-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,136
8-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,142
8-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,138
8-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,113
8-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,179
8-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,170
8-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,186
8-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,154
8-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,195
8-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,150
8-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,131
8-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,218
8-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,145
8-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,207
8-31-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,1397
04-09-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,3
05-09-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,109
07-09-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,103
08-09-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,225
09-09-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,185
10-09-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,202
11-09-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,263
12-09-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,259
9-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,254
9-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,311
9-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,362
9-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,299
9-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,135
9-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,342
9-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,325
9-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,335
9-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,303
9-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,339
9-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,350
9-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,416
9-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,424
9-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,526
9-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,311
9-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,96
9-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,39
9-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,1417
01-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,22
02-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,3
03-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,3
04-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,5
05-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,8
06-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,2
07-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,2
08-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,8
09-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,87
10-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,137
11-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,275
12-10-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,218
10-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,249
10-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,235
10-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,243
10-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,406
10-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,428
10-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,392
10-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,277
10-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,134
10-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,58
10-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,112
10-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,215
10-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,191
10-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,190
10-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,149
10-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,201
10-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,160
10-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,109
10-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,200
10-31-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,1054
01-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,44
02-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
03-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
04-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
05-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,1
06-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
07-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,6
08-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,111
09-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,127
10-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,129
11-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,124
12-11-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,82
11-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,158
11-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,132
11-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,79
11-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,93
11-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,115
11-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,123
11-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,239
11-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
11-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,139
11-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,126
11-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,123
11-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,124
11-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,115
11-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,71
11-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,131
11-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,111
11-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,140
11-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,449
01-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
02-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
03-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,11
04-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,114
05-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,141
06-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,127
07-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,106
08-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,136
09-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,107
10-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,52
11-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,174
12-12-2017,eat-in,branch_num_1.0,WEST BENGAL,EAST,162
12-13-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,166
12-14-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,145
12-15-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,165
12-16-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,90
12-17-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,105
12-18-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,236
12-19-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,163
12-20-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,216
12-21-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,104
12-22-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,84
12-23-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,144
12-24-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,98
12-25-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,120
12-26-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,178
12-27-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,160
12-28-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,156
12-29-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,210
12-30-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,174
12-31-17,eat-in,branch_num_1.0,WEST BENGAL,EAST,925
01-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,81
02-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
03-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
04-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
05-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,130
06-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,89
08-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
09-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,125
10-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,133
11-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,117
12-01-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,148
1-13-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,123
1-14-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,113
1-15-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,176
1-16-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,161
1-17-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,176
1-18-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,131
1-19-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,195
1-20-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,178
1-21-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,148
1-22-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,143
1-23-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,188
1-24-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,151
1-25-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,128
1-26-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,67
1-27-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,129
1-28-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,105
1-29-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,163
1-30-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,162
1-31-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,667
01-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,65
02-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
03-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
05-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,167
06-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,185
07-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,176
08-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,127
09-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,176
10-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,153
11-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,106
12-02-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,179
2-13-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,195
2-14-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,227
2-15-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,144
2-16-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,194
2-17-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,145
2-18-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,123
2-19-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,149
2-20-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,156
2-21-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,184
2-22-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,157
2-23-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,194
2-24-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,164
2-25-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,125
2-26-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,211
2-27-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,176
2-28-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,715
01-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,2
03-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
05-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,241
06-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,180
07-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,178
08-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,169
09-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,201
10-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,172
11-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,136
12-03-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,243
3-13-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,217
3-14-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,221
3-15-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,158
3-16-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,225
3-17-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,173
3-18-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,166
3-19-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,244
3-20-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,220
3-21-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,197
3-22-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,196
3-23-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,214
3-24-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,200
3-25-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,183
3-26-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,249
3-27-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,209
3-28-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,255
3-29-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,187
3-30-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,233
3-31-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,1657
01-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
02-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
03-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
04-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
05-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
06-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
07-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,0
08-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,4
09-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,405
10-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,3
11-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,256
12-04-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,198
4-13-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,232
4-14-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,241
4-15-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,348
4-16-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,278
4-17-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,231
4-18-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,224
4-19-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,195
4-20-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,207
4-21-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,167
4-22-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,147
4-23-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,228
4-24-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,209
4-25-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,220
4-26-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,188
4-27-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,199
4-28-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,183
4-29-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,164
4-30-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,305
01-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,1
02-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,208
03-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,184
04-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,197
05-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,182
06-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,154
07-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,255
08-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,201
09-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,227
10-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,162
11-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,170
12-05-2018,eat-in,branch_num_1.0,WEST BENGAL,EAST,183
5-13-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,114
5-14-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,122
5-15-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,218
5-16-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,207
5-17-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,154
5-18-18,eat-in,branch_num_1.0,WEST BENGAL,EAST,180
